letter	frequency
012-2426-2791	4337.68
012-2426-2792	5326.42
012-2426-2793	2557.36
012-2426-2794	2437.16
012-2426-2796	2956.87
012-2426-2797	3625.49
012-2426-2798	5083.98
012-2426-2799	1020.51
012-2426-2800	3013.97
012-2426-2801	3201.41
012-2426-2802	4380.21
012-2426-2803	1986.46
012-2426-2804	6405.31
012-2426-2805	1912.03
012-2426-2806	8536.19
012-2426-2807	5332.38
012-2426-2808	9520.77
012-2426-2809	5367.48
012-2426-2810	6025.66
012-2426-2811	1832.15
012-2426-2812	3348.07
012-2426-2813	4125.15
012-2426-2814	6088.60
012-2426-2815	3652.56
012-2426-2816	5034.49
012-2426-2817	2955.51
012-2426-2818	13038.48
012-2426-2819	4191.21
012-2426-2820	2695.34
012-2426-2821	3280.11
012-2426-2822	6426.66
012-2426-2823	3537.29
012-2426-2824	530.75
012-2426-2825	4933.63
012-2426-2826	9102.22
012-2426-2827	3278.14
012-2426-2829	2850.22
012-2426-2830	5796.05
012-2426-2831	6911.08
012-2426-2832	5510.31
012-2426-2833	2553.23
012-2426-2834	6651.42
012-2426-2835	8354.36
012-2426-2836	5551.22
012-2426-2837	11913.68
012-2426-2839	2298.41
012-2426-2840	4320.50
012-2426-2841	2922.28
012-2426-2842	4562.39
012-2426-2843	2975.17
012-2426-2844	2255.19
012-2426-2845	1073.97
012-2426-2846	7542.19
012-2426-2847	6959.69
012-2426-2848	3395.48
012-2426-2849	8195.70
012-2426-2850	4185.30
012-2426-2851	1125.99
012-2426-2852	2675.49
012-2426-2853	4445.13
012-2426-2854	5382.51
012-2426-2855	5502.24
012-2426-2856	3085.22
012-2426-2857	6848.01
012-2426-2858	5077.83
012-2426-2859	2628.89
012-2426-2860	2471.38
012-2426-2861	8210.21
012-2426-2862	1289.22
012-2426-2863	1037.90
012-2426-2864	5962.76
012-2426-2865	3465.04
012-2426-2866	3195.87
012-2426-2867	2842.03
012-2426-2869	5206.56
012-2426-2870	2567.82
012-2426-2871	4692.30
012-2426-2872	9536.04
012-2426-2874	4093.65
012-2426-2875	3296.27
012-2426-2876	2368.50
012-2426-2877	4733.28
012-2426-2878	9631.86
012-2426-2879	2117.62
012-2426-2880	2178.45
012-2426-2881	8397.05
012-2426-2882	268.52
012-2426-2883	4345.79
012-2426-2884	4261.68
012-2426-2885	1953.18
012-2426-2886	4374.34
012-2426-2887	5874.65
012-2426-2888	4508.48
012-2426-2889	16003.63
012-2426-2891	2959.56
012-2426-2892	3273.96
012-2426-2893	14890.09
012-2426-2894	7149.27
012-2426-2895	3963.57
012-2426-2896	2381.57
012-2426-2897	5585.97
012-2426-2898	8627.82
012-2426-2899	2929.50
012-2426-2900	7429.62
